"","번호","발생시각","규모","깊이(km)","위도","경도","행정구역","시군구"
"1",1200,2015-10-01 14:06:06,2.1,NA,"35.78 N","129.14 E","경북"," 경주시 남서쪽 9km 지역"
"2",1199,2015-10-01 09:21:25,2.5,NA,"35.78 N","129.14 E","경북"," 경주시 남서쪽 9km 지역"
"3",1198,2015-09-18 10:12:54,2.1,NA,"34.70 N","128.75 E","경남"," 통영시 매물도 동북동쪽 17km 해역"
"4",1197,2015-09-03 04:53:40,2.7,NA,"33.27 N","127.04 E","제주"," 서귀포시 성산 남동쪽 20km 해역"
"5",1196,2015-09-01 13:47:41,2.5,NA,"39.09 N","126.53 E","북한"," 평안남도 양덕 남서쪽 16km 지역"
"6",1195,2015-08-23 09:19:49,2.5,NA,"36.38 N","129.77 E","경북"," 영덕군 동쪽 36km 해역"
"7",1194,2015-08-17 16:56:23,2.5,NA,"37.20 N","125.38 E","인천"," 옹진군 연평도 남남서쪽 59km 해역"
"8",1193,2015-08-12 17:09:51,2.2,NA,"37.17 N","127.50 E","경기"," 이천시 남남동쪽 13km 지역"
"9",1192,2015-08-03 10:11:24,3.7,NA,"33.26 N","127.06 E","제주"," 서귀포시 성산 남동쪽 22km 해역"
"10",1191,2015-08-02 03:22:34,2.1,NA,"37.19 N","128.44 E","강원"," 영월군 서북서쪽 2km 지역"
"11",1190,2015-08-01 23:58:50,2.2,NA,"35.32 N","127.45 E","전남"," 구례군 북쪽 13km 지역"
"12",1189,2015-07-30 09:39:55,2.2,NA,"35.15 N","127.98 E","경남"," 사천시 북서쪽 12km 지역"
"13",1188,2015-07-23 04:02:14,2.6,NA,"33.22 N","127.05 E","제주"," 서귀포시 성산 남동쪽 24km 해역"
"14",1187,2015-07-20 01:33:01,2.2,NA,"33.26 N","127.21 E","제주"," 서귀포시 성산 동남동쪽 34km 해역"
"15",1186,2015-07-18 21:15:56,2.3,NA,"36.07 N","128.08 E","경북"," 김천시 남남서쪽 7km 지역"
"16",1185,2015-07-14 14:34:35,2.8,NA,"33.24 N","127.01 E","제주"," 서귀포시 성산 남동쪽 20km 해역"
"17",1184,2015-07-08 11:01:46,2,NA,"37.63 N","125.86 E","인천"," 옹진군 연평도 동남동쪽 14km 해역"
"18",1183,2015-07-04 08:49:09,2.1,NA,"36.32 N","128.18 E","경북"," 상주시 남쪽 10km 지역"
"19",1182,2015-06-22 12:44:46,2.4,NA,"36.35 N","127.24 E","충남"," 공주시 남동쪽 15km 지역"
"20",1181,2015-06-22 12:02:28,2.6,NA,"35.85 N","125.00 E","충남"," 태안군 서격렬비도 남남서쪽 96km 해역"
"21",1180,2015-06-17 00:55:05,2.3,NA,"38.41 N","125.57 E","북한"," 황해남도 안악 남남동쪽 13km 지역"
"22",1179,2015-06-07 20:54:01,2.1,NA,"33.79 N","126.16 E","제주"," 제주시 북서쪽 48km 해역"
"23",1178,2015-06-02 01:01:28,2,NA,"36.76 N","129.98 E","경북"," 울진군 동남동쪽 57km 해역"
"24",1177,2015-04-24 10:14:42,2.3,NA,"35.88 N","129.69 E","경북"," 포항시 남구 동남동쪽 33km 해역"
"25",1176,2015-04-21 02:05:40,2.1,NA,"35.88 N","129.75 E","경북"," 포항시 남구 동남동쪽 38km 해역"
"26",1175,2015-04-15 04:10:00,2.9,NA,"35.14 N","129.93 E","울산"," 동구 남동쪽 61km 해역"
"27",1174,2015-04-13 18:02:02,3.3,NA,"37.18 N","125.47 E","인천"," 옹진군 연평도 남남서쪽 58km 해역"
"28",1173,2015-03-19 16:20:18,2.7,NA,"36.43 N","127.65 E","충북"," 옥천군 북북동쪽 16km 지역"
"29",1172,2015-03-19 12:54:18,2.2,NA,"34.16 N","128.37 E","경남"," 통영시 욕지도 남남동쪽 54km 해역"
"30",1171,2015-03-10 13:10:34,2.7,NA,"37.36 N","125.15 E","인천"," 옹진군 연평도 남서쪽 59km 해역"
"31",1170,2015-02-23 04:54:14,2.7,NA,"32.96 N","126.25 E","제주"," 제주시 고산 남남동쪽 38km 해역"
"32",1169,2015-02-19 14:25:28,2.1,NA,"36.09 N","125.05 E","충남"," 태안군 서격렬비도 남서쪽 71km 해역"
"33",1168,2015-02-03 19:54:53,2.1,NA,"33.61 N","127.57 E","전남"," 여수시 거문도 남남동쪽 52km 해역"
