"","시간","규모","진앙(km)","위도","경도","행정구역","시군구"
"1","2018-01-01 11:48",1.4,13,36.21,128.31,"경북"," 구미시 북북서쪽 11km 지역"
"2","2018-01-02 3:53",1.8,8,36.11,129.36,"경북"," 포항시 북구 북쪽 8km 지역"
"3","2018-01-02 21:46",1.3,12,35.77,129.2,"경북"," 경주시 남쪽 8km 지역"
"4","2018-01-02 23:15",1.7,6,36.13,129.37,"경북"," 포항시 북구 북쪽 10km 지역"
"5","2018-01-03 3:01",1.5,8,35.15,128.58,"경남"," 창원시 마산합포구 남남동쪽 5km 지역"
"6","2018-01-03 8:00",1,5,36.1,129.32,"경북"," 포항시 북구 북북서쪽 8km 지역"
"7","2018-01-03 13:04",1.8,15,35.77,129.17,"경북"," 경주시 남남서쪽 9km 지역"
"8","2018-01-04 2:43",1.7,8,36.1,129.37,"경북"," 포항시 북구 북쪽 6km 지역"
"9","2018-01-05 6:28",1.5,15,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"10","2018-01-05 22:00",1.4,6,36.15,129.38,"경북"," 포항시 북구 북쪽 12km 지역"
"11","2018-01-06 6:28",1.5,9,36.12,129.35,"경북"," 포항시 북구 북쪽 9km 지역"
"12","2018-01-06 22:45",1.4,10,37.93,128.01,"강원"," 홍천군 북북동쪽 28km 지역"
"13","2018-01-07 19:42",0.9,17,35.77,129.2,"경북"," 경주시 남쪽 8km 지역"
"14","2018-01-07 21:40",1.9,19,33.83,127.27,"전남"," 여수시 거문도 남쪽 22km 해역"
"15","2018-01-07 23:25",1.2,16,36.33,128.18,"경북"," 상주시 남남동쪽 9km 지역"
"16","2018-01-08 0:41",1.9,0,38.7,125.64,"북한"," 황해북도 송림 남쪽 41km 지역"
"17","2018-01-08 1:25",1.1,10,37.92,128.01,"강원"," 홍천군 북북동쪽 27km 지역"
"18","2018-01-09 0:19",1.7,19,35.89,129.59,"경북"," 포항시 남구 동남동쪽 24km 해역"
"19","2018-01-09 3:02",1.3,7,36.15,129.37,"경북"," 포항시 북구 북쪽 12km 지역"
"20","2018-01-09 11:17",1.3,12,36.34,127.84,"충북"," 옥천군 동쪽 24km 지역"
"21","2018-01-09 18:07",1.1,8,36.1,129.34,"경북"," 포항시 북구 북북서쪽 7km 지역"
"22","2018-01-10 10:45",1.8,5,36.15,129.39,"경북"," 포항시 북구 북쪽 12km 지역"
"23","2018-01-10 21:55",1.8,8,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"24","2018-01-10 22:00",1.7,9,36.08,129.34,"경북"," 포항시 북구 북북서쪽 5km 지역"
"25","2018-01-11 3:26",1.9,14,33.1,127.24,"제주"," 서귀포시 성산 남동쪽 46km 해역"
"26","2018-01-11 19:06",0.8,7,36.12,129.36,"경북"," 포항시 북구 북쪽 9km 지역"
"27","2018-01-12 2:13",1.5,8,36.12,129.36,"경북"," 포항시 북구 북쪽 9km 지역"
"28","2018-01-12 5:04",1.6,5,37.94,128.01,"강원"," 인제군 남서쪽 20km 지역"
"29","2018-01-12 12:44",1.6,17,35.8,126.72,"전북"," 부안군 북쪽 8km 해역"
"30","2018-01-12 21:46",1.2,9,36.09,129.34,"경북"," 포항시 북구 북북서쪽 6km 지역"
"31","2018-01-13 1:52",1.3,12,36.63,127.65,"충북"," 청주시 상당구 동쪽 14km 지역"
"32","2018-01-13 3:06",1.2,8,36.11,129.36,"경북"," 포항시 북구 북쪽 8km 지역"
"33","2018-01-13 21:57",1,9,37.91,128.02,"강원"," 홍천군 북북동 26km 지역"
"34","2018-01-16 17:36",1.3,15,35.75,129.18,"경북"," 경주시 남남서쪽 10km 지역"
"35","2018-01-16 19:48",1.9,6,36.14,129.36,"경북"," 포항시 북구 북쪽 11km 지역"
"36","2018-01-17 0:57",1.6,7,36.14,129.36,"경북"," 포항시 북구 북쪽 11km 지역"
"37","2018-01-17 3:13",1.4,11,36.58,126.79,"충남"," 예산군 남남서쪽 13km 지역"
"38","2018-01-17 19:09",1.3,12,35.8,129.19,"경북"," 경주시 남남서쪽 5km 지역"
"39","2018-01-18 8:08",1.5,17,34.67,128.06,"경남"," 통영시 서쪽 18km 해역"
"40","2018-01-19 23:53",0.9,8,36.51,127.64,"충북"," 보은군 서북서쪽 8km 지역"
"41","2018-01-20 1:15",1.3,10,36.1,129.34,"경북"," 포항시 북구 북북서쪽 7km 지역"
"42","2018-01-20 12:25",1.1,12,35.75,129.18,"경북"," 경주시 남남서쪽 10km 지역"
"43","2018-01-20 22:31",1.5,6,36.11,129.35,"경북"," 포항시 북구 북쪽 8km 지역"
"44","2018-01-21 18:36",1.4,2,38.24,127.56,"강원"," 화천군 동북동쪽 24km 지역"
"45","2018-01-22 11:20",1.5,6,36.11,129.38,"경북"," 포항시 북구 북쪽 8km 지역"
"46","2018-01-24 6:29",1.8,17,35.76,128.27,"경북"," 고령군 북쪽 4km 지역"
"47","2018-01-25 0:01",1.8,6,36.17,129.45,"경북"," 포항시 북구 북북동쪽 16km 해역"
"48","2018-01-27 17:18",1.3,14,35.75,129.19,"경북"," 경주시 남남서쪽 10km 지역"
"49","2018-01-28 3:06",1,14,36.25,129.48,"경북"," 영덕군 남남동 21km 해역"
"50","2018-01-29 7:24",1.3,10,35.8,129.2,"경북"," 경주시 남남서쪽 4km 지역"
"51","2018-01-30 12:03",1.1,11,35.92,129.27,"경북"," 경주시 북북동쪽 10km 지역"
"52","2018-01-30 17:31",1.8,15,36.81,128.85,"경북"," 안동시 북북동쪽 28km 지역"
"53","2018-01-31 3:27",1.6,10,35.15,128.58,"경남"," 창원시 마산합포구 남남동쪽 5km 지역"
"54","2018-01-31 13:51",1.9,11,36.07,129.32,"경북"," 포항시 북구 북서쪽 5km 지역"
"55","2018-01-31 23:49",1.3,17,35.96,128.65,"대구"," 동구 북쪽 8km 지역"
"56","2018-02-01 2:12",0.9,11,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"57","2018-02-01 3:08",0.9,15,35.76,128.41,"대구"," 달성군 남서쪽 3km 지역"
"58","2018-02-01 8:30",1.2,12,36.46,127.01,"충남"," 공주시 서쪽 10km 지역"
"59","2018-02-01 17:17",1.4,8,36.1,129.36,"경북"," 포항시 북구 북쪽 6km 지역"
"60","2018-02-02 0:04",1,17,35.79,129.03,"경북"," 경주시 서남서쪽 17km 지역"
"61","2018-02-02 4:39",1.7,6,36.14,129.37,"경북"," 포항시 북구 북쪽 11km 지역"
"62","2018-02-02 16:52",1.2,6,36.12,129.37,"경북"," 포항시 북구 북쪽 9km 지역"
"63","2018-02-05 23:44",0.7,8,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"64","2018-02-06 16:46",1.3,24,33.85,126.79,"제주"," 제주시 북북동쪽 46km 해역"
"65","2018-02-06 19:12",1.7,9,36.09,129.32,"경북"," 포항시 북구 북서쪽 7km 지역"
"66","2018-02-07 12:01",0.9,11,36.38,127.65,"충북"," 옥천군 북동쪽 11km 지역"
"67","2018-02-07 16:23",1.8,5,36.11,128.05,"경북"," 김천시 서남서쪽 7km 지역"
"68","2018-02-08 10:39",1.9,7,36.14,129.36,"경북"," 포항시 북구 북쪽 11km 지역"
"69","2018-02-08 18:54",0.9,14,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"70","2018-02-09 7:47",0.9,9,35.77,129.18,"경북"," 경주시 남남서쪽 8km 지역"
"71","2018-02-10 5:33",1.1,3,36.13,129.37,"경북"," 포항시 북구 북쪽 10km 지역"
"72","2018-02-10 7:57",1.3,12,35.78,129.18,"경북"," 경주시 남남서쪽 7km 지역"
"73","2018-02-10 11:57",1.3,6,38.23,127.63,"강원"," 화천군 북북서쪽 15km 지역"
"74","2018-02-10 13:05",1.4,12,37.71,126.24,"인천"," 강화군 서쪽 22km 해역"
"75","2018-02-11 5:23",1.5,2,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"76","2018-02-11 5:24",1.6,8,36.07,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"77","2018-02-11 5:33",1.1,6,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"78","2018-02-11 6:17",1.1,9,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"79","2018-02-11 6:30",1.3,10,36.07,129.33,"경북"," 포항시 북구 북서쪽 4km 지역"
"80","2018-02-11 6:50",1.1,17,36.11,129.34,"경북"," 포항시 북구 북북서쪽 8km 지역"
"81","2018-02-11 7:02",1.6,14,36.07,129.33,"경북"," 포항시 북구 북서쪽 4km 지역"
"82","2018-02-11 7:37",1.3,10,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"83","2018-02-11 8:04",1,7,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"84","2018-02-11 8:10",1.1,6,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"85","2018-02-11 8:58",1,8,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"86","2018-02-11 8:59",1.1,10,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"87","2018-02-11 9:11",1.2,9,36.09,129.32,"경북"," 포항시 북구 북서쪽 7km 지역"
"88","2018-02-11 9:11",0.6,4,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"89","2018-02-11 9:26",1.3,11,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"90","2018-02-11 10:29",1.6,10,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"91","2018-02-11 10:40",1,9,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"92","2018-02-11 15:19",1.1,6,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"93","2018-02-11 15:55",1.8,10,36.08,129.33,"경북"," 포항시 북구 북북서쪽 5km 지역"
"94","2018-02-11 18:24",1.5,11,36.07,129.32,"경북"," 포항시 북구 북서쪽 5km 지역"
"95","2018-02-11 21:49",1.2,15,36.08,129.38,"경북"," 포항시 북구 북북동쪽 4km 지역"
"96","2018-02-12 17:31",1.1,6,36.09,129.33,"경북"," 포항시 북구 북북서쪽 6km 지역"
"97","2018-02-12 21:37",0.7,6,36.09,129.32,"경북"," 포항시 북구 북서쪽 7km 지역"
"98","2018-02-12 23:23",1.1,14,35.82,128.34,"경북"," 성주군 남남동쪽 12km 지역"
"99","2018-02-13 4:53",1.1,11,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"100","2018-02-13 6:21",1.1,9,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"101","2018-02-13 7:03",1.3,12,35.77,129.2,"경북"," 경주시 남쪽 8km 지역"
"102","2018-02-13 7:04",1.1,8,36.1,129.35,"경북"," 포항시 북구 북북서쪽 7km 지역"
"103","2018-02-13 7:42",1.7,9,36.07,129.33,"경북"," 포항시 북구 북서쪽 4km 지역"
"104","2018-02-13 7:52",1.7,9,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"105","2018-02-13 12:10",1.9,19,36.55,129.6,"경북"," 영덕군 북동쪽 26km 해역"
"106","2018-02-14 3:25",1,9,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"107","2018-02-14 16:07",1.2,8,36.08,129.31,"경북"," 포항시 북구 북서쪽 7km 지역"
"108","2018-02-14 19:44",1.6,9,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"109","2018-02-14 23:03",1.3,8,36.11,129.37,"경북"," 포항시 북구 북쪽 8km 지역"
"110","2018-02-15 7:06",1.1,5,36.09,129.32,"경북"," 포항시 북구 북서쪽 7km 지역"
"111","2018-02-15 13:49",1,14,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"112","2018-02-15 14:53",1.6,9,36.09,129.33,"경북"," 포항시 북구 북북서쪽 6km 지역"
"113","2018-02-15 23:08",1.3,8,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"114","2018-02-16 6:33",1.1,18,36.55,129.6,"경북"," 영덕군 북동쪽 26km 해역"
"115","2018-02-16 6:41",1.4,10,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"116","2018-02-16 16:47",1.7,16,36.56,129.62,"경북"," 영덕군 북동쪽 28km 해역"
"117","2018-02-17 18:45",1.1,10,36.09,129.32,"경북"," 포항시 북구 북서쪽 7km 지역"
"118","2018-02-17 20:14",1.9,16,33.54,126.63,"제주"," 제주시 동북동쪽 9km 해역"
"119","2018-02-18 0:29",1.1,9,36.08,129.33,"경북"," 포항시 북구 북서쪽 5km 지역"
"120","2018-02-18 18:19",1.3,12,36.08,129.31,"경북"," 포항시 북구 북서쪽 7km 지역"
"121","2018-02-18 21:33",1.5,17,33.52,126.62,"제주"," 제주시 동북동쪽 9km 지역"
